"V1","V2","V3"
2,".",26229510
3,"the",25911791
5,"and",12746023
6,"of",12359298
9,"""",8685069
29,"we",2162855
64,"'",1018752
74,"people",824080
101,"these",602175
110,"state",548247
131,"call",433675
135,"woman",409775
138,"child",383308
145,"show",361718
177,"point",289879
181,"hand",284834
192,"group",271984
194,"study",265920
197,"run",260834
215,"company",235148
218,"program",232713
222,"system",231220
261,"mother",196443
267,"war",192993
278,"book",185608
293,"force",175529
335,"car",153826
377,"form",140568
382,"party",139295
394,"bill",136720
400,"others",134669
402,"art",134079
403,"deal",133922
412,"market",129243
417,"test",128063
481,"field",111047
509,"role",105545
530,"effort",101267
531,"project",101165
563,"fight",96326
599,"site",89988
604,"campaign",88581
638,"movie",82435
646,"science",81408
652,"list",80816
711,"opportunity",74214
721,"trade",73075
744,"performance",71158
789,"river",66234
802,"staff",65263
836,"union",61849
881,"cell",59386
917,"fail",57836
928,"network",56670
939,"mountain",56156
941,"sun",56051
943,"ride",55993
952,"club",55600
966,"trial",54370
971,"theory",54112
1003,"living",52699
1082,"bag",48845
1177,"battle",45078
1221,"secret",43845
1222,"option",43797
1225,"dinner",43659
1229,"shop",43575
1245,"restaurant",42971
1250,"host",42833
1277,"document",41977
1307,"tour",40946
1397,"band",37961
1455,"match",36049
1464,"burn",35879
1472,"mistake",35544
1531,"grab",34192
1570,"egg",32890
1665,"storm",31113
1744,"slip",29070
1756,"democracy",28726
1762,"pool",28628
1801,"panel",27814
1854,"bomb",26793
1858,"trend",26748
2032,"joint",23912
2071,"draft",23390
2152,"musical",22153
2178,"hunt",21850
2245,"revolution",20872
2346,"initiative",19652
2384,"ill",19292
2431,"sauce",18944
2458,"divorce",18704
2472,"existence",18582
2500,"disaster",18321
2574,"upset",17625
2588,"festival",17488
2658,"recipe",16907
2722,"repair",16286
2731,"mechanism",16229
2742,"flood",16121
2782,"phenomenon",15874
2809,"grin",15631
2993,"scenario",14452
3026,"fault",14226
3228,"rapid",12999
3266,"mandate",12812
3290,"pine",12727
3438,"blast",12016
3472,"horizon",11810
3521,"cow",11651
3601,"leak",11316
3894,"virtue",10101
3917,"architect",10030
3947,"parade",9911
3992,"ideology",9735
4021,"indicator",9644
4113,"jam",9363
4122,"obstacle",9337
4226,"pizza",8990
4609,"gathering",7941
4752,"pork",7582
4851,"scramble",7307
4908,"remedy",7177
4926,"hormone",7131
4934,"recount",7118
5423,"headache",6169
5603,"memo",5891
5606,"vein",5883
5893,"bureaucracy",5444
6012,"massage",5269
6461,"caregiver",4685
6554,"obsession",4591
6652,"generator",4492
6941,"dread",4199
6952,"asteroid",4186
7063,"vampire",4076
7132,"strategist",4009
7609,"catastrophe",3607
7796,"pub",3478
7945,"extinction",3386
8599,"bash",2982
9040,"alignment",2765
9308,"procedural",2647
9311,"op",2645
9800,"pianist",2445
10287,"itch",2270
10700,"gloss",2118
11252,"rout",1960
11405,"cliche",1916
11879,"thunderstorm",1799
11898,"overdose",1796
13621,"blunder",1444
15001,"nook",1227
15385,"glitch",1177
15650,"hangover",1144
16267,"behemoth",1080
16294,"flip-flop",1078
19770,"clique",778
20399,"no-brainer",738
20534,"shutout",731
20762,"quandary",716
20954,"quagmire",704
22940,"muskie",602
23300,"coffeehouse",586
24109,"externality",551
24834,"abscess",523
28460,"stoppage",410
28564,"signpost",407
30348,"glob",363
31363,"scraper",342
35421,"screw-up",273
38981,"things",229
39100,"alkaloid",227
44294,"hazmat",181
48805,"lashing",150
53001,"bloodsucker",128
61241,"megastore",98
65230,"briefer",87
75576,"orisa",67
79973,"comb-over",60
110635,"squeezer",34
270518,"stickup",8
